0	39.4678	0	1557.71 
0.0418879	-0.838432	3.32261	11.7427 
0.0837758	33.7778	-10.2478	1245.96 
0.125664	14.8533	11.4979	352.823 
0.167552	21.621	-21.5824	933.269 
0.20944	36.5068	17.269	1630.96 
0.251327	9.24912	0.771827	86.1419 
0.293215	39.0826	-14.2739	1731.19 
0.335103	39.6447	27.173	2310.08 
0.376991	15.6877	22.6531	759.268 
0.418879	8.68113	5.69336	107.776 
0.460767	27.4343	-5.909	787.556 
0.502655	64.0315	4.57758	4120.99 
0.544543	-0.647627	-84.9974	7224.98 
0.586431	2.6355	-41.6633	1742.77 
0.628319	3.50842	-30.3571	933.861 
0.670206	3.91104	-24.5838	619.66 
0.712094	4.14255	-20.9301	455.232 
0.753982	4.29266	-18.3499	355.148 
0.79587	4.39763	-16.4012	288.339 
0.837758	4.47496	-14.8608	240.868 
0.879646	4.53414	-13.6022	205.579 
0.921534	4.58075	-12.548	178.435 
0.963422	4.61831	-11.6473	156.988 
1.00531	4.64914	-10.8655	139.674 
1.0472	4.67484	-10.178	125.446 
1.08909	4.69654	-9.56676	113.58 
1.13097	4.71506	-9.01817	103.559 
1.17286	4.73102	-8.52181	95.0039 
1.21475	4.74489	-8.06954	87.6315 
1.25664	4.75702	-7.65486	81.2262 
1.29852	4.76772	-7.27253	75.6208 
1.34041	4.77719	-6.91826	70.6838 
1.3823	4.78562	-6.58851	66.3106 
1.42419	4.79316	-6.28033	62.417 
1.46608	4.79994	-5.99123	58.9342 
1.50796	4.80605	-5.71909	55.8061 
1.54985	4.81158	-5.4621	52.9858 
1.59174	4.81659	-5.21869	50.4343 
1.63363	4.82116	-4.98753	48.119 
1.67552	4.82533	-4.76742	46.012 
1.7174	4.82914	-4.55733	44.0898 
1.75929	4.83263	-4.35635	42.3321 
1.80118	4.83584	-4.16367	40.7214 
1.84307	4.83879	-3.97856	39.2428 
1.88496	4.8415	-3.8004	37.8832 
1.92684	4.84401	-3.6286	36.6311 
1.96873	4.84632	-3.46263	35.4767 
2.01062	4.84846	-3.30205	34.4111 
2.05251	4.85044	-3.1464	33.4266 
2.0944	4.85227	-2.99532	32.5165 
